%
%
% Run:00    Table:BUOYS             SWAN version:41.20
%
%       Time               Xp            Yp            Depth       X-Windv       Y-Windv         Hsig          Dir           RTpeak        Period        Tm01          Tm02          PkDir
%       [ ]                [degr]        [degr]        [m]           [m/s]         [m/s]         [m]           [degr]        [sec]         [sec]         [sec]         [sec]         [degr]
%
20120826.000000          -89.658       25.8880     3176.6836       -6.6942       -3.0140       0.73426       204.245        3.5727        2.7727        2.7727        2.4408       205.000
20120826.000000          -93.666       25.7900     3211.0347       -7.2778       -0.5440       0.72938       184.281        3.2479        2.7644        2.7644        2.4331       185.000
20120826.000000          -85.612       26.0440     3278.5854       -8.5182       -6.5953       1.11556       217.743        3.9299        3.3386        3.3386        2.9668       215.000
20120826.000000          -87.555       30.0650       24.8846       -4.5510       -1.4625       0.45961       197.808        2.6842        2.2504        2.2504        1.9659       195.000
20120826.000000          -96.695       26.9660       85.1907       -3.2961        2.1312       0.33396       147.144        2.6842        2.0513        2.0513        1.7895       145.000
20120826.000000          -94.413       29.2320       15.3785       -3.2909        1.7719       0.30240       151.717        2.4402        2.0035        2.0035        1.7477       155.000
20120826.000000          -84.517       28.5000       51.6082       -6.3389       -4.4520       0.78045       215.081        3.5727        2.8491        2.8491        2.5118       215.000
20120826.000000          -88.207       29.2120      293.3774       -5.4317       -1.7341       0.55697       197.703        2.9526        2.4504        2.4504        2.1461       195.000
20120826.000000          -94.000       22.2030     3498.4778       -6.1701       -1.7642       0.63562       195.954        3.2479        2.5991        2.5991        2.2821       195.000
20120826.000000          -84.857       19.8020     4540.7300       -1.9368       -4.9652       0.52216       248.189        2.9526        2.3889        2.3889        2.0886       245.000
20120826.010000          -89.658       25.8880     3176.6836       -6.6942       -3.0140       0.66491       196.325        3.5727        2.8371        2.8371        2.4866       205.000
20120826.010000          -93.666       25.7900     3211.0347       -7.2778       -0.5440       0.66967       172.408        3.5727        2.8166        2.8166        2.4496       185.000
20120826.010000          -85.612       26.0440     3278.5854       -8.5182       -6.5953       1.07035       199.074        4.3229        3.4218        3.4218        3.0697       215.000
20120826.010000          -87.555       30.0650       24.8846       -4.5510       -1.4625       0.41485       196.410        2.9526        2.3921        2.3921        2.0637       205.000
20120826.010000          -96.695       26.9660       85.1907       -3.2961        2.1312       0.31344       145.218        2.6842        2.1709        2.1709        1.8876       135.000
20120826.010000          -94.413       29.2320       15.3785       -3.2909        1.7719       0.29042       150.698        2.6842        2.1410        2.1410        1.8634       145.000
20120826.010000          -84.517       28.5000       51.6082       -6.3389       -4.4520       0.71365       211.624        3.5727        2.9156        2.9156        2.5476       215.000
20120826.010000          -88.207       29.2120      293.3774       -5.4317       -1.7341       0.49923       194.739        3.2479        2.5690        2.5690        2.2169       205.000
20120826.010000          -94.000       22.2030     3498.4778       -6.1701       -1.7642       0.56149       188.771        3.2479        2.5809        2.5809        2.2201       185.000
20120826.010000          -84.857       19.8020     4540.7300       -1.9368       -4.9652       0.45538       251.830        2.9526        2.4607        2.4607        2.1270       255.000
20120826.020000          -89.658       25.8880     3176.6836       -6.6329       -3.2322       0.67358       161.981        3.5727        2.8028        2.8028        2.4210       205.000
20120826.020000          -93.666       25.7900     3211.0347       -7.1351       -0.5116       0.66146       153.675        3.5727        2.8481        2.8481        2.4731       185.000
20120826.020000          -85.612       26.0440     3278.5854       -8.5627       -6.9944       1.19557        67.347        4.3229        3.6373        3.6373        3.2502        65.000
20120826.020000          -87.555       30.0650       24.8846       -4.6143       -1.6982       0.41032       186.175        2.9526        2.3546        2.3546        1.9961       195.000
